Date,Epoch,TrainLoss,ValLoss,ValAcc,ValF1,BalancedAcc,ValEER,EER_Thr
2026-02-13 08:11:52,1,0.6901,0.7262,0.1595,0.1309,0.5044,0.459538,0.491479
2026-02-13 08:11:55,2,0.6828,0.7138,0.5546,0.69,0.5635,0.433759,0.498894
2026-02-13 08:11:59,3,0.6736,0.6833,0.6772,0.7951,0.5979,0.404992,0.516031
2026-02-13 08:12:03,4,0.6598,0.6599,0.7112,0.8199,0.6284,0.383457,0.524504
2026-02-13 08:12:06,5,0.6419,0.6287,0.7366,0.8382,0.644,0.357965,0.538158
2026-02-13 08:12:10,6,0.6176,0.6081,0.7192,0.8244,0.6604,0.339923,0.533634
2026-02-13 08:12:14,7,0.5765,0.6023,0.6454,0.7602,0.7197,0.288382,0.443119
2026-02-13 08:12:17,8,0.4766,0.414,0.8017,0.8801,0.7661,0.226453,0.554371
2026-02-13 08:12:21,9,0.4113,0.5363,0.7146,0.8146,0.7763,0.225124,0.381472
2026-02-13 08:12:24,10,0.3792,0.5288,0.7149,0.8148,0.7768,0.223335,0.368157
2026-02-13 08:12:28,11,0.3502,0.341,0.8387,0.9044,0.7933,0.193548,0.608004
2026-02-13 08:12:31,12,0.3083,0.4061,0.8042,0.8801,0.8169,0.186613,0.46831
2026-02-13 08:12:35,13,0.2783,0.3613,0.8306,0.8989,0.7985,0.192337,0.600001
